k,a,валовой_выпуск,спрос_региона,уровень_нтп
0,A,0.00,48668031062.00,97
0,B,0.00,59483800000000000.00,97
0,C,0.00,7972200000000000.00,97
0,D,0.00,5792178790.00,97
0,E,0.00,8826366813.00,97
0,F,0.00,4138500000000000.00,97
0,G,0.00,35960120844.00,97
0,H,0.00,100249000000000000.00,97
0,I,0.00,19848100000000000.00,97
0,J,0.00,32907300000000000.00,97
0,K,0.00,40134904839.00,97
0,L,0.00,15212496777.00,97
0,M,0.00,12051900000000000.00,97
0,N,0.00,13524306888.00,97
0,O,0.00,0.00,97
0,P,0.00,13233800000000000.00,97
0,Q,0.00,18533800000000000.00,97
0,R,0.00,25237779748.00,97
1,A,41051584862.00,47465221453.00,102.59
1,B,94444479516.00,50079654740.00,115.92
1,C,277173000000.00,348784000000.00,86.97
1,D,56129754601.00,65518797882.00,108.23
1,E,7481496146.00,7050871237.00,129.02
1,F,80676851640.00,27747650741.00,143.23
1,G,161626000000.00,158923000000.00,182.08
1,H,84407313633.00,31095768500.00,83.74
1,I,40579166788.00,15050908593.00,153.57
1,J,17300208093.00,13264580106.00,73.02
1,K,37201962612.00,47569913737.00,98.43
1,L,101085000000.00,159478000000.00,94.48
1,M,47649961004.00,37883963415.00,115.17
1,N,28314162872.00,30012206744.00,127.30
1,O,6184785679.00,4890586577.00,99.86
1,P,20937026531.00,6201288336.00,122.65
1,Q,30977666452.00,9823165646.00,138.17
1,R,12000270459.00,9796399415.00,114.28
2,A,41051584862.00,47465221453.00,102.59
2,B,94444479516.00,50079654740.00,115.92
2,C,277173000000.00,348784000000.00,86.97
2,D,56129754601.00,65518797882.00,108.23
2,E,7481496146.00,7050871237.00,129.02
2,F,80676851640.00,27747650741.00,143.23
2,G,161626000000.00,158923000000.00,182.08
2,H,84407313633.00,31095768500.00,83.74
2,I,40579166788.00,15050908593.00,153.57
2,J,17300208093.00,13264580106.00,73.02
2,K,37201962612.00,47569913737.00,98.43
2,L,101085000000.00,159478000000.00,94.48
2,M,47649961004.00,37883963415.00,115.17
2,N,28314162872.00,30012206744.00,127.30
2,O,6184785679.00,4890586577.00,99.86
2,P,20937026531.00,6201288336.00,122.65
2,Q,30977666452.00,9823165646.00,138.17
2,R,12000270459.00,9796399415.00,114.28
3,A,41051584862.00,47465221453.00,102.59
3,B,94444479516.00,50079654740.00,115.92
3,C,277173000000.00,348784000000.00,86.97
3,D,56129754601.00,65518797882.00,108.23
3,E,7481496146.00,7050871237.00,129.02
3,F,80676851640.00,27747650741.00,143.23
3,G,161626000000.00,158923000000.00,182.08
3,H,84407313633.00,31095768500.00,83.74
3,I,40579166788.00,15050908593.00,153.57
3,J,17300208093.00,13264580106.00,73.02
3,K,37201962612.00,47569913737.00,98.43
3,L,101085000000.00,159478000000.00,94.48
3,M,47649961004.00,37883963415.00,115.17
3,N,28314162872.00,30012206744.00,127.30
3,O,6184785679.00,4890586577.00,99.86
3,P,20937026531.00,6201288336.00,122.65
3,Q,30977666452.00,9823165646.00,138.17
3,R,12000270459.00,9796399415.00,114.28
4,A,41051584862.00,47465221453.00,102.59
4,B,94444479516.00,50079654740.00,115.92
4,C,277173000000.00,348784000000.00,86.97
4,D,56129754601.00,65518797882.00,108.23
4,E,7481496146.00,7050871237.00,129.02
4,F,80676851640.00,27747650741.00,143.23
4,G,161626000000.00,158923000000.00,182.08
